Source,Label,Target
Q111548056,Alfonso Bernardi,http://www.wikidata.org/entity/Q111548056
Q123653286,Alexandra Boyle,http://www.wikidata.org/entity/Q123653286
Q15975618,Carl Peter Thunberg,http://www.wikidata.org/entity/Q39658
Q15975618,Ludwig Diels,http://www.wikidata.org/entity/Q77123
Q15975618,Carlos Luigi Spegazzini,http://www.wikidata.org/entity/Q648013
Q15975618,Rudolf Schlechter,http://www.wikidata.org/entity/Q62278
Q15975618,August Brand,http://www.wikidata.org/entity/Q15975618
Q15975618,Christian Ferdinand Friedrich Hochstetter,http://www.wikidata.org/entity/Q64983
Q15975618,Hipólito Ruiz López,http://www.wikidata.org/entity/Q733976
Q15975618,Amos Arthur Heller,http://www.wikidata.org/entity/Q2373009
Q15975618,Carl Ludwig Willdenow,http://www.wikidata.org/entity/Q76353
Q15975618,Christian Gottfried Daniel Nees von Esenbeck,http://www.wikidata.org/entity/Q76349
Q15975618,Carlo Luigi Giuseppe Bertero,http://www.wikidata.org/entity/Q522467
Q15975618,Edward Lee Greene,http://www.wikidata.org/entity/Q2661665
Q15975618,Johann Friedrich Klotzsch,http://www.wikidata.org/entity/Q67003
Q15975618,Heinrich Carl Haussknecht,http://www.wikidata.org/entity/Q67102
Q15975618,Albert Kellogg,http://www.wikidata.org/entity/Q1368910
Q15975618,José Antonio Pavón,http://www.wikidata.org/entity/Q332058
Q15975618,Sereno Watson,http://www.wikidata.org/entity/Q960820
Q15975618,Palisot de Beauvois,http://www.wikidata.org/entity/Q458941
Q15975618,Alice Eastwood,http://www.wikidata.org/entity/Q460241
Q15975618,Charles Piper,http://www.wikidata.org/entity/Q567756
Q15975618,Ernest Cosson,http://www.wikidata.org/entity/Q1276939
Q15975618,John Graham,http://www.wikidata.org/entity/Q5547895
Q15975618,Edmond Boissier,http://www.wikidata.org/entity/Q34430
Q15975618,Georg August Schweinfurth,http://www.wikidata.org/entity/Q63126
Q15975618,Ernst Hallier,http://www.wikidata.org/entity/Q73100
