,Source,Label,Target
0,Q102116664,جون فيتش,جون فيتش
1,Q102116664,John Fitch,John Fitch
2,Q102116664,John Fitch,John Fitch
3,Q102116664,John Fitch,John Fitch
4,Q102116664,John Fitch,John Fitch
5,Q102116664,John Fitch,John Fitch
6,Q102116664,John Fitch,John Fitch
7,Q102116664,John Fitch,John Fitch
8,Q102116664,John Fitch,John Fitch
9,Q102116664,John Fitch,John Fitch
10,Q102116664,John Fitch,John Fitch
11,Q102116664,John Fitch,John Fitch
12,Q102116664,Джон Фитч,Джон Фитч
13,Q102116664,John Fitch,John Fitch
14,Q102116664,John Fitch,John Fitch
15,Q102116664,John Fitch,John Fitch
16,Q102116664,Christopher Burdorf,http://www.wikidata.org/entity/Q102229333
17,Q102116664,British mathematician and computer scientist,British mathematician and computer scientist
18,Q102116664,statement/Q2575489-BEA9CE77-0AFC-4607-A4C7-7DAB3D7FC42C,http://www.wikidata.org/entity/statement/Q2575489-BEA9CE77-0AFC-4607-A4C7-7DAB3D7FC42C
19,Q102116664,James H. Davenport,http://www.wikidata.org/entity/Q6135125
20,Q102116664,জন ফিচ,জন ফিচ
21,Q102116664,John Fitch,John Fitch
22,Q102116664,John Fitch,John Fitch
23,Q102116664,University of Leeds,http://www.wikidata.org/entity/Q503424
24,Q102116664,https://d-nb.info/gnd/1145330584,https://d-nb.info/gnd/1145330584
25,Q102116664,University of Utah,http://www.wikidata.org/entity/Q168515
26,Q102116664,1145330584,1145330584
27,Q102116664,John Fitch,John Fitch
28,Q102116664,http://id.loc.gov/authorities/names/n84017248,http://id.loc.gov/authorities/names/n84017248
29,Q102116664,mathematician,http://www.wikidata.org/entity/Q170790
30,Q102116664,University of Cambridge,http://www.wikidata.org/entity/Q35794
31,Q102116664,n84017248,n84017248
32,Q102116664,engineer,http://www.wikidata.org/entity/Q81096
33,Q102116664,2417651582,2417651582
34,Q102116664,2025-10-17T23:25:23Z,2025-10-17T23:25:23Z
35,Q102116664,St John's College,http://www.wikidata.org/entity/Q691283
36,Q102116664,3,3
37,Q102116664,18,18
38,Q102116664,56,56
39,Q102116664,John Fitch,John Fitch
40,Q102116664,United Kingdom,http://www.wikidata.org/entity/Q145
41,Q102116664,David Barton,http://www.wikidata.org/entity/Q102116664
42,Q102116664,http://viaf.org/viaf/92072417,http://viaf.org/viaf/92072417
43,Q102116664,Barnsley,http://www.wikidata.org/entity/Q54212
44,Q102116664,statement/Q6233248-05733851-B62C-487E-822D-906FF4577729,http://www.wikidata.org/entity/statement/Q6233248-05733851-B62C-487E-822D-906FF4577729
45,Q102116664,statement/Q6233248-636B1DA8-822D-4A72-B657-ECE02A31A71B,http://www.wikidata.org/entity/statement/Q6233248-636B1DA8-822D-4A72-B657-ECE02A31A71B
46,Q102116664,statement/Q6233248-b41fc66d-a891-4961-bf01-159befa9e4e5,http://www.wikidata.org/entity/statement/Q6233248-b41fc66d-a891-4961-bf01-159befa9e4e5
47,Q102116664,statement/Q6233248-c723e3e8-4cc6-c557-eb5e-cdbd62c9f196,http://www.wikidata.org/entity/statement/Q6233248-c723e3e8-4cc6-c557-eb5e-cdbd62c9f196
48,Q102116664,statement/Q6233248-D48D1B45-032F-4E63-937C-C3FEB7D4E8D6,http://www.wikidata.org/entity/statement/Q6233248-D48D1B45-032F-4E63-937C-C3FEB7D4E8D6
49,Q102116664,statement/Q6233248-D5AA2829-116C-4BC9-B70A-CDB9791456E9,http://www.wikidata.org/entity/statement/Q6233248-D5AA2829-116C-4BC9-B70A-CDB9791456E9
50,Q102116664,statement/Q6233248-DB06FE58-3276-4A08-BBF8-89413A3D913E,http://www.wikidata.org/entity/statement/Q6233248-DB06FE58-3276-4A08-BBF8-89413A3D913E
51,Q102116664,statement/Q6233248-EE758BFB-3F48-4C70-9C5B-750F08A6F994,http://www.wikidata.org/entity/statement/Q6233248-EE758BFB-3F48-4C70-9C5B-750F08A6F994
52,Q102116664,David P. Chapman,http://www.wikidata.org/entity/Q102229335
53,Q102116664,Andreas M. Vamvasakis,http://www.wikidata.org/entity/Q102229513
54,Q102116664,Jeremy L. Leach,http://www.wikidata.org/entity/Q102229424
55,Q102116664,Robert W. J. Simmonds,http://www.wikidata.org/entity/Q102229489
56,Q102116664,0000000108592184,0000000108592184
57,Q102116664,존 피치,존 피치
58,Q102116664,John ffitch,John ffitch
59,Q102116664,John ffitch,John ffitch
60,Q102116664,John Peter Fitch,John Peter Fitch
61,Q102116664,John Fitch,John Fitch
62,Q102116664,존 피터 피치,존 피터 피치
63,Q102116664,Marc-Laurent Aird,http://www.wikidata.org/entity/Q102300921
