Source,Label,Target
Q102116664,Christopher Burdorf,http://www.wikidata.org/entity/Q102229333
Q102116664,William Marshall Smart,http://www.wikidata.org/entity/Q14949094
Q102116664,James H. Davenport,http://www.wikidata.org/entity/Q6135125
Q102116664,David Barton,http://www.wikidata.org/entity/Q102116664
Q102116664,David P. Chapman,http://www.wikidata.org/entity/Q102229335
Q102116664,Andreas M. Vamvasakis,http://www.wikidata.org/entity/Q102229513
Q102116664,Jeremy L. Leach,http://www.wikidata.org/entity/Q102229424
Q102116664,Robert W. J. Simmonds,http://www.wikidata.org/entity/Q102229489
Q102116664,Marc-Laurent Aird,http://www.wikidata.org/entity/Q102300921
Q102116664,Richard George Hall,http://www.wikidata.org/entity/Q102300923
Q102116664,Waffa Shabana,http://www.wikidata.org/entity/Q102300922
Q102116664,Emma Hazel Cliffe,http://www.wikidata.org/entity/Q102316299
Q102116664,Ismail A. A. Al-Rawi,http://www.wikidata.org/entity/Q102367195
Q102116664,Robert Beardsworth,http://www.wikidata.org/entity/Q102367098
Q102116664,Spiridon K. Kalogeropulos,http://www.wikidata.org/entity/Q102367194
Q102116664,Richard Hicks,http://www.wikidata.org/entity/Q102382818
Q102116664,Georg Boenn,http://www.wikidata.org/entity/Q102382154
Q102116664,Martin J Brain,http://www.wikidata.org/entity/Q102398707
Q102116664,Esraa Hadi Obead Alwan,http://www.wikidata.org/entity/Q102424192
Q102116664,John Fitch,http://www.wikidata.org/entity/Q578827
Q102116664,Julian A Padget,http://www.wikidata.org/entity/Q58621441
Q102116664,Tom Crick,http://www.wikidata.org/entity/Q55486562
Q62051641,Carlo Traverso,http://www.wikidata.org/entity/Q52513608
Q62051641,Lorenzo Robbiano,http://www.wikidata.org/entity/Q93433532
Q62051641,Maria-Laura Torrente,http://www.wikidata.org/entity/Q102565694
Q62051641,Elisa Palezzato,http://www.wikidata.org/entity/Q102670992
Q62051641,Anna M. Bigatti,http://www.wikidata.org/entity/Q62051641
Q78978,Peter Paule,http://www.wikidata.org/entity/Q1443929
Q78978,Gerhard Wanner,http://www.wikidata.org/entity/Q30328538
Q78978,Günter Pilz,http://www.wikidata.org/entity/Q89363
Q78978,Ernst Mayr,http://www.wikidata.org/entity/Q1359461
Q78978,Hans Knapp,http://www.wikidata.org/entity/Q1259630
Q78978,Bruno Buchberger,http://www.wikidata.org/entity/Q78978
Q78978,Britta Schinzel,http://www.wikidata.org/entity/Q2663738
Q78978,Jochen Pfalzgraf,http://www.wikidata.org/entity/Q102105419
Q78978,Henry A. Antosiewicz,http://www.wikidata.org/entity/Q102157925
Q78978,Peter Lesky,http://www.wikidata.org/entity/Q1675191
Q78978,Markus Rosenkranz,http://www.wikidata.org/entity/Q102252893
Q78978,Alfred Reiter,http://www.wikidata.org/entity/Q102254577
Q78978,A. Scheidweiler,http://www.wikidata.org/entity/Q102254590
Q78978,Alois P. Anton Plattner,http://www.wikidata.org/entity/Q102254583
Q78978,Brigitte Radon,http://www.wikidata.org/entity/Q102254563
Q78978,A. Gadner,http://www.wikidata.org/entity/Q102254606
Q78978,Arthur Kaiser,http://www.wikidata.org/entity/Q102254598
Q78978,Arno Beer,http://www.wikidata.org/entity/Q102254597
Q78978,Barbara Lotze,http://www.wikidata.org/entity/Q102254602
Q78978,Edith Saffer,http://www.wikidata.org/entity/Q102254564
Q78978,Hartwig Neumann,http://www.wikidata.org/entity/Q102254567
Q78978,H. Sallhofer,http://www.wikidata.org/entity/Q102254571
Q78978,Ernst Geisler,http://www.wikidata.org/entity/Q102254585
Q78978,H. Larcher,http://www.wikidata.org/entity/Q102254572
Q78978,E. Baeck,http://www.wikidata.org/entity/Q102254596
Q78978,E. Hitthaler,http://www.wikidata.org/entity/Q102254601
Q78978,Hermann J. Donnert,http://www.wikidata.org/entity/Q102254575
Q78978,E. Dotzauer,http://www.wikidata.org/entity/Q102254607
Q78978,Harry Schludi,http://www.wikidata.org/entity/Q102254582
Q78978,Hans Märkl,http://www.wikidata.org/entity/Q102254587
Q78978,Hildegard Berg,http://www.wikidata.org/entity/Q102254584
Q78978,Herbert Donner,http://www.wikidata.org/entity/Q102254589
Q78978,Helmut Ilsemann,http://www.wikidata.org/entity/Q102254592
Q78978,H. Faulhaber,http://www.wikidata.org/entity/Q102254603
Q78978,Josef Kerec,http://www.wikidata.org/entity/Q102254573
Q78978,M. Wurnig,http://www.wikidata.org/entity/Q102254591
Q78978,Michael Thomaseth,http://www.wikidata.org/entity/Q102254609
Q78978,F. Lang,http://www.wikidata.org/entity/Q102254723
Q78978,S. Filippi,http://www.wikidata.org/entity/Q102254594
Q78978,G. Weiner,http://www.wikidata.org/entity/Q102254732
Q78978,Walter Sturn,http://www.wikidata.org/entity/Q102254578
Q78978,I. Moravek,http://www.wikidata.org/entity/Q102254720
Q78978,Hieronymus Gruber,http://www.wikidata.org/entity/Q102254724
Q78978,Theodor Schnattler,http://www.wikidata.org/entity/Q102254600
Q78978,K. Psaier,http://www.wikidata.org/entity/Q102254730
Q78978,M. Moser,http://www.wikidata.org/entity/Q102254722
Q78978,N. Schatz,http://www.wikidata.org/entity/Q102254726
Q78978,R. Säly,http://www.wikidata.org/entity/Q102254727
Q78978,Philipp Furtwängler,http://www.wikidata.org/entity/Q68514
Q78978,Norbert Ortner,http://www.wikidata.org/entity/Q102290953
Q78978,Mahdad Khatirinejad,http://www.wikidata.org/entity/Q102356306
Q78978,Lam Xuan Chau Ngo,http://www.wikidata.org/entity/Q102420155
Q78978,Wolfgang Gröbner,http://www.wikidata.org/entity/Q112508
Q78978,Detlef Gronau,http://www.wikidata.org/entity/Q95335205
Q78978,Georg Grasegger,http://www.wikidata.org/entity/Q97524441
Q78978,Rüdiger Loos,http://www.wikidata.org/entity/Q95757790
Q78978,Franz Winkler,http://www.wikidata.org/entity/Q1449518
Q78978,Thomas Beth,http://www.wikidata.org/entity/Q2422408
Q78978,Rudolf Albrecht,http://www.wikidata.org/entity/Q91752115
Q78978,Heinz Engl,http://www.wikidata.org/entity/Q1600177
Q78978,Juan Rafael Sendra,http://www.wikidata.org/entity/Q102087413
Q78978,Sebastian Falkensteiner,http://www.wikidata.org/entity/Q102087402
Q78978,Bernhard Wall,http://www.wikidata.org/entity/Q102169903
Q78978,Michal Mnuk,http://www.wikidata.org/entity/Q102169904
Q78978,Quoc-Nam Tran,http://www.wikidata.org/entity/Q102169906
Q78978,Ziming Li,http://www.wikidata.org/entity/Q102169905
Q78978,Rahul Ramesh Athale,http://www.wikidata.org/entity/Q102182465
Q78978,Anderson Clayton Alves Nascimento,http://www.wikidata.org/entity/Q102304421
Q78978,Jens-Matthias Bohli,http://www.wikidata.org/entity/Q102342237
Q78978,Nikolaj Popov,http://www.wikidata.org/entity/Q102342797
Q78978,Glauco Alfredo Lopez Diaz,http://www.wikidata.org/entity/Q102344164
Q78978,Aleksey Kondratyev,http://www.wikidata.org/entity/Q102348195
Q78978,Ekaterina Shemyakova,http://www.wikidata.org/entity/Q102359210
Q78978,Alexandra Alecu,http://www.wikidata.org/entity/Q102359910
Q78978,Giovanna Roda,http://www.wikidata.org/entity/Q102367025
Q78978,Peter Stadelmeyer,http://www.wikidata.org/entity/Q102372610
Q78978,Johannes Middeke,http://www.wikidata.org/entity/Q102385978
Q78978,Loredana Tec,http://www.wikidata.org/entity/Q102387053
Q78978,Camelia Rosenkranz,http://www.wikidata.org/entity/Q102390677
Q78978,Katsusuke Nabeshima,http://www.wikidata.org/entity/Q102400016
Q78978,Christian Dönch,http://www.wikidata.org/entity/Q102401219
Q78978,Alex Burrage,http://www.wikidata.org/entity/Q102407359
Q78978,Yanli Huang,http://www.wikidata.org/entity/Q102408024
Q78978,Madalina Erascu,http://www.wikidata.org/entity/Q102412504
Q78978,Muhammad Taimoor Khan,http://www.wikidata.org/entity/Q102423587
Q78978,Besik Dundua,http://www.wikidata.org/entity/Q102428436
Q78978,Piet Bikker,http://www.wikidata.org/entity/Q102435690
Q78978,Erik Hillgarter,http://www.wikidata.org/entity/Q102437132
Q78978,Alexander Baumgartner,http://www.wikidata.org/entity/Q102437554
Q78978,Christian Aistleitner,http://www.wikidata.org/entity/Q102439635
Q78978,Hong Gu,http://www.wikidata.org/entity/Q102439634
Q78978,Ralf Hemmecke,http://www.wikidata.org/entity/Q102439633
Q78978,Nico Marcel Döttling,http://www.wikidata.org/entity/Q102442684
Q78978,George E. Collins,http://www.wikidata.org/entity/Q16090778
Q78978,Nitin Serwa,http://www.wikidata.org/entity/Q103292458
Q78978,Christoph Fuerst,http://www.wikidata.org/entity/Q103377741
Q78978,Ngoc Thieu Vo,http://www.wikidata.org/entity/Q103377717
Q95281762,Robert A. Wagner,http://www.wikidata.org/entity/Q24083043
Q95281762,Mary Shaw,http://www.wikidata.org/entity/Q14241
Q95281762,Jerome A. Feldman,http://www.wikidata.org/entity/Q72800961
Q95281762,James G. Mitchell,http://www.wikidata.org/entity/Q6134378
Q95281762,Zohar Manna,http://www.wikidata.org/entity/Q92814
Q95281762,David Parnas,http://www.wikidata.org/entity/Q92876
Q95281762,Philip Franklin,http://www.wikidata.org/entity/Q7183563
Q95281762,Christopher Warwick Fraser,http://www.wikidata.org/entity/Q102171565
Q95281762,Wen-Shin Lee,http://www.wikidata.org/entity/Q102218880
Q95281762,William Jonathan Turner,http://www.wikidata.org/entity/Q102235185
Q95281762,Kevin Tyrone Lynch,http://www.wikidata.org/entity/Q102248306
Q95281762,Spencer Rugaber,http://www.wikidata.org/entity/Q102259483
Q95281762,Markus Alois Hitz,http://www.wikidata.org/entity/Q102264288
Q95281762,Austin Anthony Lobo,http://www.wikidata.org/entity/Q102272730
Q95281762,Angel Luis Diaz,http://www.wikidata.org/entity/Q102272728
Q95281762,Thomas Valente,http://www.wikidata.org/entity/Q102272731
Q95281762,Yagati N. Lakshman,http://www.wikidata.org/entity/Q102272729
Q95281762,John Paul May,http://www.wikidata.org/entity/Q102279877
Q95281762,Rudolph Allen Krutar,http://www.wikidata.org/entity/Q102336234
Q95281762,J. Renato Iturriaga,http://www.wikidata.org/entity/Q102336818
Q95281762,George Yuhasz,http://www.wikidata.org/entity/Q102349214
Q95281762,Sharon Hutton,http://www.wikidata.org/entity/Q102388908
Q95281762,Matthew Comer,http://www.wikidata.org/entity/Q102415169
Q95281762,Gary Lindstrom,http://www.wikidata.org/entity/Q5525477
Q95281762,Kai Li,http://www.wikidata.org/entity/Q6347433
Q95281762,George E. Collins,http://www.wikidata.org/entity/Q16090778
Q95281762,Cleveland Waddell,http://www.wikidata.org/entity/Q103126355
Q95281762,Bob F. Caviness,http://www.wikidata.org/entity/Q95281762
Q16090778,Rüdiger Loos,http://www.wikidata.org/entity/Q95757790
Q16090778,David Edward Schroer,http://www.wikidata.org/entity/Q102188788
Q16090778,Gerald Sacks,http://www.wikidata.org/entity/Q1509840
Q16090778,"J. Barkley Rosser, Jr.",http://www.wikidata.org/entity/Q6104803
Q16090778,Rudolf Albrecht,http://www.wikidata.org/entity/Q91752115
Q16090778,Sartaj Sahni,http://www.wikidata.org/entity/Q92684
Q16090778,Alonzo Church,http://www.wikidata.org/entity/Q92741
Q16090778,Bruno Buchberger,http://www.wikidata.org/entity/Q78978
Q16090778,Elliott Mendelson,http://www.wikidata.org/entity/Q5365699
Q16090778,Jing Yang,http://www.wikidata.org/entity/Q102408993
Q16090778,Chris Paquette,http://www.wikidata.org/entity/Q102111025
Q16090778,Brittany Riggs,http://www.wikidata.org/entity/Q102111402
Q16090778,Theodore Hailperin,http://www.wikidata.org/entity/Q102132287
Q16090778,Steven Orey,http://www.wikidata.org/entity/Q102132545
Q16090778,Charlotte J. Chell,http://www.wikidata.org/entity/Q102158018
Q16090778,Walter Joel Harrington,http://www.wikidata.org/entity/Q102198745
Q16090778,"George William Petznick, Jr.",http://www.wikidata.org/entity/Q102265957
Q16090778,John Edward Perry,http://www.wikidata.org/entity/Q102274130
Q16090778,Anatole D. Ruslanov,http://www.wikidata.org/entity/Q102311229
Q16090778,Manfred Minimair,http://www.wikidata.org/entity/Q83411630
